{sender = 1, syncTime = 0.0051249876022}
{sender = 2, syncTime = 0.0664998559952}
{sender = 3, syncTime = 0.1278746461868}
{sender = 4, syncTime = 0.1892816524506}
{sender = 5, syncTime = 0.250656170845}
{sender = 6, syncTime = 0.3120308380127}
{sender = 7, syncTime = 0.3734050149918}
{sender = 8, syncTime = 0.4347801570892}
{sender = 9, syncTime = 0.4961549091339}
{sender = 10, syncTime = 0.5575303916931}
{sender = 11, syncTime = 0.6189382925034}
{sender = 12, syncTime = 0.6803125762939}
{sender = 13, syncTime = 0.7416882686615}
{sender = 14, syncTime = 0.8030624895096}
{sender = 15, syncTime = 0.8644379329681}
{sender = 16, syncTime = 0.9258128738403}
{sender = 17, syncTime = 0.9871882200241}
{sender = 18, syncTime = 1.0485626916885}
{sender = 19, syncTime = 1.1099374265671}
{sender = 20, syncTime = 1.1713120994568}
{sender = 21, syncTime = 1.232686665535}
{sender = 22, syncTime = 1.2940625686646}
{sender = 23, syncTime = 1.3554371023178}
{sender = 24, syncTime = 1.4168120746613}
{sender = 25, syncTime = 1.4781867828369}
{sender = 26, syncTime = 1.5395937709808}
{sender = 27, syncTime = 1.6009679870605}
{sender = 28, syncTime = 1.6623435468674}
{sender = 29, syncTime = 1.7237183647156}
{sender = 30, syncTime = 1.7850938720703}
{sender = 31, syncTime = 1.8464688386917}
{sender = 32, syncTime = 1.9078440103531}
{sender = 33, syncTime = 1.9692188453674}
{sender = 34, syncTime = 2.0305938167572}
{sender = 35, syncTime = 2.0919686737061}
{sender = 36, syncTime = 2.1533444700241}
{sender = 37, syncTime = 2.2147194623947}
{sender = 38, syncTime = 2.2760948123932}
{sender = 39, syncTime = 2.3374710683823}
{sender = 40, syncTime = 2.3988457164764}
{sender = 41, syncTime = 2.460220908165}
{sender = 42, syncTime = 2.5215950698853}
{sender = 43, syncTime = 2.5829709920883}
{sender = 44, syncTime = 2.6443454179764}
{sender = 45, syncTime = 2.7057206935883}
{sender = 46, syncTime = 2.7670969467163}
{sender = 47, syncTime = 2.8284718027115}
{sender = 48, syncTime = 2.8898462085724}
{sender = 49, syncTime = 2.9512219457626}
