@gt=  0.000000  | lt=  0.000000 | input=0.4911
@gt=401142.988556  | lt=401147.000000 | input=11.6011
@gt=401207.987915  | lt=401212.000000 | input=8.03
@gt=401273.987274  | lt=401278.000000 | input=21.24
@gt=401273.987274  | lt=401278.000000 | input=13.7011
@gt=401437.985626  | lt=401442.000000 | input=0.4911
@gt=401437.985626  | lt=401442.000000 | input=0.4911
@gt=422255.777435  | lt=422260.000000 | input=11.6011
@gt=422320.776794  | lt=422325.000000 | input=8.03
@gt=422386.776123  | lt=422391.000000 | input=21.24
@gt=422386.776123  | lt=422391.000000 | input=13.7011
@gt=422550.774506  | lt=422555.000000 | input=0.4911
@gt=422550.774506  | lt=422555.000000 | input=0.4911
@gt=443368.566315  | lt=443373.000000 | input=11.6011
@gt=443433.565674  | lt=443438.000000 | input=8.03
@gt=443499.565002  | lt=443504.000000 | input=21.24
@gt=443499.565002  | lt=443504.000000 | input=13.7011
@gt=443663.563354  | lt=443668.000000 | input=0.4911
@gt=443663.563354  | lt=443668.000000 | input=0.4911
@gt=464481.355194  | lt=464486.000000 | input=11.6011
@gt=464546.354523  | lt=464551.000000 | input=8.03
@gt=464612.353882  | lt=464617.000000 | input=21.24
@gt=464612.353882  | lt=464617.000000 | input=13.7011
@gt=464776.352234  | lt=464781.000000 | input=0.4911
@gt=464776.352234  | lt=464781.000000 | input=0.4911
@gt=485594.144073  | lt=485599.000000 | input=11.6011
@gt=485659.143402  | lt=485664.000000 | input=8.03
@gt=485725.142761  | lt=485730.000000 | input=21.24
@gt=485725.142761  | lt=485730.000000 | input=13.7011
@gt=485889.141113  | lt=485894.000000 | input=0.4911
@gt=485889.141113  | lt=485894.000000 | input=0.4911
@gt=506706.932922  | lt=506712.000000 | input=11.6011
@gt=506771.932281  | lt=506777.000000 | input=8.03
@gt=506837.931610  | lt=506843.000000 | input=21.24
@gt=506837.931610  | lt=506843.000000 | input=13.7011
@gt=507001.929993  | lt=507007.000000 | input=0.4911
@gt=507001.929993  | lt=507007.000000 | input=0.4911
@gt=527819.721802  | lt=527825.000000 | input=11.6011
@gt=527884.721161  | lt=527890.000000 | input=8.03
@gt=527950.720490  | lt=527956.000000 | input=21.24
@gt=527950.720490  | lt=527956.000000 | input=13.7011
@gt=528114.718842  | lt=528120.000000 | input=0.4911
@gt=528114.718842  | lt=528120.000000 | input=0.4911
@gt=548932.510681  | lt=548938.000000 | input=11.6011
@gt=548997.510010  | lt=549003.000000 | input=8.03
@gt=549063.509369  | lt=549069.000000 | input=21.24
@gt=549063.509369  | lt=549069.000000 | input=13.7011
@gt=549227.507721  | lt=549233.000000 | input=0.4911
@gt=549227.507721  | lt=549233.000000 | input=0.4911
@gt=570045.299561  | lt=570051.000000 | input=11.6011
@gt=570110.298889  | lt=570116.000000 | input=8.03
@gt=570176.298248  | lt=570182.000000 | input=21.24
@gt=570176.298248  | lt=570182.000000 | input=13.7011
@gt=570340.296600  | lt=570346.000000 | input=0.4911
@gt=570340.296600  | lt=570346.000000 | input=0.4911
@gt=591158.088409  | lt=591164.000000 | input=11.6011
@gt=591223.087769  | lt=591229.000000 | input=8.03
@gt=591289.087097  | lt=591295.000000 | input=21.24
@gt=591289.087097  | lt=591295.000000 | input=13.7011
@gt=591453.085480  | lt=591459.000000 | input=0.4911
@gt=591453.085480  | lt=591459.000000 | input=0.4911
@gt=612270.877289  | lt=612277.000000 | input=11.6011
@gt=612335.876648  | lt=612342.000000 | input=8.03
@gt=612401.875977  | lt=612408.000000 | input=21.24
